id,qname,heading,text,type,diagram,website,updated
,Instant,Time instant,A temporal entity with zero extent or duration,Class,http://www.w3.org/2006/time/diagrams/Instant.dot.svg,http://www.w3.org/2006/time/Instant,2026-07-24T11:26:49.277524
,TemporalEntity,Temporal entity,A temporal interval or instant.,Class,http://www.w3.org/2006/time/diagrams/TemporalEntity.dot.svg,http://www.w3.org/2006/time/TemporalEntity,2026-07-24T11:26:49.277524
,ProperInterval,Proper interval,"A temporal entity with non-zero extent or duration, i.e. for which the value of the beginning and end are different",Class,http://www.w3.org/2006/time/diagrams/ProperInterval.dot.svg,http://www.w3.org/2006/time/ProperInterval,2026-07-24T11:26:49.277524
,Interval,Time interval,A temporal entity with an extent or duration,Class,http://www.w3.org/2006/time/diagrams/Interval.dot.svg,http://www.w3.org/2006/time/Interval,2026-07-24T11:26:49.277524
,GeneralDurationDescription,Generalized duration description,Description of temporal extent structured with separate values for the various elements of a calendar-clock system.,Class,http://www.w3.org/2006/time/diagrams/GeneralDurationDescription.dot.svg,http://www.w3.org/2006/time/GeneralDurationDescription,2026-07-24T11:26:49.277524
,TemporalPosition,Temporal position,A position on a time-line,Class,http://www.w3.org/2006/time/diagrams/TemporalPosition.dot.svg,http://www.w3.org/2006/time/TemporalPosition,2026-07-24T11:26:49.277524
,DateTimeDescription,Date-Time description,"Description of date and time structured with separate values for the various elements of a calendar-clock system. The temporal reference system is fixed to Gregorian Calendar, and the range of year, month, day properties restricted to corresponding XML Schema types xsd:gYear, xsd:gMonth and xsd:gDay, respectively.",Class,http://www.w3.org/2006/time/diagrams/DateTimeDescription.dot.svg,http://www.w3.org/2006/time/DateTimeDescription,2026-07-24T11:26:49.277524
,Duration,Time duration,Duration of a temporal extent expressed as a number scaled by a temporal unit,Class,http://www.w3.org/2006/time/diagrams/Duration.dot.svg,http://www.w3.org/2006/time/Duration,2026-07-24T11:26:49.277524
,MonthOfYear,Month of year,The month of the year,Class,http://www.w3.org/2006/time/diagrams/MonthOfYear.dot.svg,http://www.w3.org/2006/time/MonthOfYear,2026-07-24T11:26:49.277524
,GeneralDateTimeDescription,Generalized date-time description,Description of date and time structured with separate values for the various elements of a calendar-clock system,Class,http://www.w3.org/2006/time/diagrams/GeneralDateTimeDescription.dot.svg,http://www.w3.org/2006/time/GeneralDateTimeDescription,2026-07-24T11:26:49.277524
,January,January,,Class,http://www.w3.org/2006/time/diagrams/January.dot.svg,http://www.w3.org/2006/time/January,2026-07-24T11:26:49.277524
,Year,Anno,Year duration,Class,http://www.w3.org/2006/time/diagrams/Year.dot.svg,http://www.w3.org/2006/time/Year,2026-07-24T11:26:49.277524
,DateTimeInterval,Date-time interval,"DateTimeInterval is a subclass of ProperInterval, defined using the multi-element DateTimeDescription.",Class,http://www.w3.org/2006/time/diagrams/DateTimeInterval.dot.svg,http://www.w3.org/2006/time/DateTimeInterval,2026-07-24T11:26:49.277524
,TRS,Temporal Reference System,"A temporal reference system, such as a temporal coordinate system (with an origin, direction, and scale), a calendar-clock combination, or a (possibly hierarchical) ordinal system. 

This is a stub class, representing the set of all temporal reference systems.",Class,http://www.w3.org/2006/time/diagrams/TRS.dot.svg,http://www.w3.org/2006/time/TRS,2026-07-24T11:26:49.277524
,TimeZone,Time Zone,"A Time Zone specifies the amount by which the local time is offset from UTC. 
	A time zone is usually denoted geographically (e.g. Australian Eastern Daylight Time), with a constant value in a given region. 
The region where it applies and the offset from UTC are specified by a locally recognised governing authority.",Class,http://www.w3.org/2006/time/diagrams/TimeZone.dot.svg,http://www.w3.org/2006/time/TimeZone,2026-07-24T11:26:49.277524
,TimePosition,Time position,"A temporal position described using either a (nominal) value from an ordinal reference system, or a (numeric) value in a temporal coordinate system. ",Class,http://www.w3.org/2006/time/diagrams/TimePosition.dot.svg,http://www.w3.org/2006/time/TimePosition,2026-07-24T11:26:49.277524
,TemporalUnit,Temporal unit,"A standard duration, which provides a scale factor for a time extent, or the granularity or precision for a time position.",Class,http://www.w3.org/2006/time/diagrams/TemporalUnit.dot.svg,http://www.w3.org/2006/time/TemporalUnit,2026-07-24T11:26:49.277524
,DayOfWeek,Day of week,The day of week,Class,http://www.w3.org/2006/time/diagrams/DayOfWeek.dot.svg,http://www.w3.org/2006/time/DayOfWeek,2026-07-24T11:26:49.277524
,DurationDescription,Duration description,"Description of temporal extent structured with separate values for the various elements of a calendar-clock system. The temporal reference system is fixed to Gregorian Calendar, and the range of each of the numeric properties is restricted to xsd:decimal",Class,http://www.w3.org/2006/time/diagrams/DurationDescription.dot.svg,http://www.w3.org/2006/time/DurationDescription,2026-07-24T11:26:49.277524
,TemporalDuration,Temporal duration,Time extent; duration of a time interval separate from its particular start position,Class,http://www.w3.org/2006/time/diagrams/TemporalDuration.dot.svg,http://www.w3.org/2006/time/TemporalDuration,2026-07-24T11:26:49.277524
,after,after,"Gives directionality to time. If a temporal entity T1 is after another temporal entity T2, then the beginning of T1 is after the end of T2.",ObjectProperty,,http://www.w3.org/2006/time/after,2026-07-24T11:26:49.277524
,before,before,"Gives directionality to time. If a temporal entity T1 is before another temporal entity T2, then the end of T1 is before the beginning of T2. Thus, ""before"" can be considered to be basic to instants and derived for intervals.",ObjectProperty,,http://www.w3.org/2006/time/before,2026-07-24T11:26:49.277524
,dayOfWeek,day of week,"The day of week, whose value is a member of the class time:DayOfWeek",ObjectProperty,,http://www.w3.org/2006/time/dayOfWeek,2026-07-24T11:26:49.277524
,hasBeginning,has beginning,Beginning of a temporal entity.,ObjectProperty,,http://www.w3.org/2006/time/hasBeginning,2026-07-24T11:26:49.277524
,hasDateTimeDescription,has Date-Time description,Value of DateTimeInterval expressed as a structured value. The beginning and end of the interval coincide with the limits of the shortest element in the description.,ObjectProperty,,http://www.w3.org/2006/time/hasDateTimeDescription,2026-07-24T11:26:49.277524
,hasDuration,has duration,"Duration of a temporal entity, event or activity, or thing, expressed as a scaled value",ObjectProperty,,http://www.w3.org/2006/time/hasDuration,2026-07-24T11:26:49.277524
,hasDurationDescription,has duration description,"Duration of a temporal entity, expressed using a structured description",ObjectProperty,,http://www.w3.org/2006/time/hasDurationDescription,2026-07-24T11:26:49.277524
,hasEnd,has end,End of a temporal entity.,ObjectProperty,,http://www.w3.org/2006/time/hasEnd,2026-07-24T11:26:49.277524
,hasTRS,Temporal reference system used,The temporal reference system used by a temporal position or extent description. ,ObjectProperty,,http://www.w3.org/2006/time/hasTRS,2026-07-24T11:26:49.277524
,hasTemporalDuration,has temporal duration,Duration of a temporal entity.,ObjectProperty,,http://www.w3.org/2006/time/hasTemporalDuration,2026-07-24T11:26:49.277524
,hasTime,has time,Supports the association of a temporal entity (instant or interval) to any thing,ObjectProperty,,http://www.w3.org/2006/time/hasTime,2026-07-24T11:26:49.277524
,inDateTime,in date-time description,"Position of an instant, expressed using a structured description",ObjectProperty,,http://www.w3.org/2006/time/inDateTime,2026-07-24T11:26:49.277524
,inTemporalPosition,Temporal position,Position of a time instant,ObjectProperty,,http://www.w3.org/2006/time/inTemporalPosition,2026-07-24T11:26:49.277524
,inTimePosition,Time position,Position of a time instant expressed as a TimePosition,ObjectProperty,,http://www.w3.org/2006/time/inTimePosition,2026-07-24T11:26:49.277524
,inside,has time instant inside,An instant that falls inside the interval. It is not intended to include beginnings and ends of intervals.,ObjectProperty,,http://www.w3.org/2006/time/inside,2026-07-24T11:26:49.277524
,intervalAfter,interval after,"If a proper interval T1 is intervalAfter another proper interval T2, then the beginning of T1 is after the end of T2.",ObjectProperty,,http://www.w3.org/2006/time/intervalAfter,2026-07-24T11:26:49.277524
,intervalBefore,interval before,"If a proper interval T1 is intervalBefore another proper interval T2, then the end of T1 is before the beginning of T2.",ObjectProperty,,http://www.w3.org/2006/time/intervalBefore,2026-07-24T11:26:49.277524
,intervalContains,interval contains,"If a proper interval T1 is intervalContains another proper interval T2, then the beginning of T1 is before the beginning of T2, and the end of T1 is after the end of T2.",ObjectProperty,,http://www.w3.org/2006/time/intervalContains,2026-07-24T11:26:49.277524
,intervalDisjoint,interval disjoint,"If a proper interval T1 is intervalDisjoint another proper interval T2, then the beginning of T1 is after the end of T2, or the end of T1 is before the beginning of T2, i.e. the intervals do not overlap in any way, but their ordering relationship is not known.",ObjectProperty,,http://www.w3.org/2006/time/intervalDisjoint,2026-07-24T11:26:49.277524
,intervalDuring,interval during,"If a proper interval T1 is intervalDuring another proper interval T2, then the beginning of T1 is after the beginning of T2, and the end of T1 is before the end of T2.",ObjectProperty,,http://www.w3.org/2006/time/intervalDuring,2026-07-24T11:26:49.277524
,intervalEquals,interval equals,"If a proper interval T1 is intervalEquals another proper interval T2, then the beginning of T1 is coincident with the beginning of T2, and the end of T1 is coincident with the end of T2.",ObjectProperty,,http://www.w3.org/2006/time/intervalEquals,2026-07-24T11:26:49.277524
,intervalFinishedBy,interval finished by,"If a proper interval T1 is intervalFinishedBy another proper interval T2, then the beginning of T1 is before the beginning of T2, and the end of T1 is coincident with the end of T2.",ObjectProperty,,http://www.w3.org/2006/time/intervalFinishedBy,2026-07-24T11:26:49.277524
,intervalFinishes,interval finishes,"If a proper interval T1 is intervalFinishes another proper interval T2, then the beginning of T1 is after the beginning of T2, and the end of T1 is coincident with the end of T2.",ObjectProperty,,http://www.w3.org/2006/time/intervalFinishes,2026-07-24T11:26:49.277524
,intervalIn,interval in,"If a proper interval T1 is intervalIn another proper interval T2, then the beginning of T1 is after the beginning of T2 or is coincident with the beginning of T2, and the end of T1 is before the end of T2, or is coincident with the end of T2, except that end of T1 may not be coincident with the end of T2 if the beginning of T1 is coincident with the beginning of T2.",ObjectProperty,,http://www.w3.org/2006/time/intervalIn,2026-07-24T11:26:49.277524
,intervalMeets,interval meets,"If a proper interval T1 is intervalMeets another proper interval T2, then the end of T1 is coincident with the beginning of T2.",ObjectProperty,,http://www.w3.org/2006/time/intervalMeets,2026-07-24T11:26:49.277524
,intervalMetBy,interval met by,"If a proper interval T1 is intervalMetBy another proper interval T2, then the beginning of T1 is coincident with the end of T2.",ObjectProperty,,http://www.w3.org/2006/time/intervalMetBy,2026-07-24T11:26:49.277524
,intervalOverlappedBy,interval overlapped by,"If a proper interval T1 is intervalOverlappedBy another proper interval T2, then the beginning of T1 is after the beginning of T2, the beginning of T1 is before the end of T2, and the end of T1 is after the end of T2.",ObjectProperty,,http://www.w3.org/2006/time/intervalOverlappedBy,2026-07-24T11:26:49.277524
,intervalOverlaps,interval overlaps,"If a proper interval T1 is intervalOverlaps another proper interval T2, then the beginning of T1 is before the beginning of T2, the end of T1 is after the beginning of T2, and the end of T1 is before the end of T2.",ObjectProperty,,http://www.w3.org/2006/time/intervalOverlaps,2026-07-24T11:26:49.277524
,intervalStartedBy,interval started by,"If a proper interval T1 is intervalStarted another proper interval T2, then the beginning of T1 is coincident with the beginning of T2, and the end of T1 is after the end of T2.",ObjectProperty,,http://www.w3.org/2006/time/intervalStartedBy,2026-07-24T11:26:49.277524
